Specification,NetworkFile,Epsilon,Delta,TimeTaken,Counterexample,FairRegion,FairRegionPercent,DebugCurRegion,JSMADimension
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,0.6744868755340576,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,0.9441471099853516,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,1.0821490287780762,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,1.3044707775115967,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,1.5512516498565674,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,2.1625704765319824,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,2.3760464191436768,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,2.574388265609741,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,2.782719373703003,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,3.064545154571533,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,3.270296335220337,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,3.4922382831573486,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,3.6726484298706055,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,3.8678672313690186,[],[],0,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,6.113155364990234,[],"[[[0, 1], [0, -1, 2], [0, 1, 2, 3, 4, 5], [0.5, 1], [0, 1], [0, 1], [0, 1], [0, 1]]]",0.3333333333333333,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,6.273456335067749,[],"[[[0, 1], [0, -1, 2], [0, 1, 2, 3, 4, 5], [0.5, 1], [0, 1], [0, 1], [0, 1], [0, 1]]]",0.3333333333333333,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,6.4897003173828125,[],"[[[0, 1], [0, -1, 2], [0, 1, 2, 3, 4, 5], [0.5, 1], [0, 1], [0, 1], [0, 1], [0, 1]]]",0.3333333333333333,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,8.785572290420532,[],"[[[0, 1], [0, -1, 2], [0, 1, 2, 3, 4, 5], [0.5, 1], [0, 1], [0, 1], [0, 1], [0, 1]], [[0, 1], [0, -1, 2], [0, 1, 2, 3, 4, 5], [0, 1], [0.5, 1], [0, 1], [0, 1], [0, 1]]]",0.5,,
CEGFA,../../networks/compas/compas_bias_3_8_fc.onnx,,,8.988658428192139,[],"[[[0, 1], [0, -1, 2], [0, 1, 2, 3, 4, 5], [0.5, 1], [0, 1], [0, 1], [0, 1], [0, 1]], [[0, 1], [0, -1, 2], [0, 1, 2, 3, 4, 5], [0, 1], [0.5, 1], [0, 1], [0, 1], [0, 1]]]",0.5,,
