Specification,NetworkFile,Epsilon,Delta,TimeTaken,Counterexample,FairRegion,FairRegionPercent
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,0.258436918258667,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,0.5187921524047852,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,0.8192164897918701,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,1.0741753578186035,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,1.3191704750061035,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,1.5183415412902832,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,1.7705156803131104,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,2.0137648582458496,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,2.2710447311401367,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,2.5168519020080566,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,2.7519640922546387,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,2.995159149169922,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,3.243232011795044,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,3.483582019805908,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,3.7663581371307373,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.0136542320251465,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.255810260772705,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.456466436386108,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.705589294433594,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.9903035163879395,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,5.1934123039245605,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,5.435990333557129,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,5.685954332351685,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,5.906750202178955,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,6.157079219818115,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,6.370365142822266,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,6.620588302612305,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,6.881439208984375,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,7.155668258666992,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,7.357423305511475,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,7.598819255828857,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,7.8103861808776855,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,8.061060190200806,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,8.300591230392456,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,8.543493270874023,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,8.737488269805908,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,8.980470418930054,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,9.225541114807129,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,9.445225954055786,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,9.687630891799927,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,9.908774137496948,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,10.158178091049194,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,10.39954400062561,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,10.638891220092773,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,10.834817171096802,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.076558113098145,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.31958818435669,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.608355045318604,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,11.850373983383179,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.128741979598999,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.330403089523315,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.573076963424683,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,12.792141914367676,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.046475887298584,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.308527946472168,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.54773473739624,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,13.818402767181396,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,14.073111772537231,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,14.485385656356812,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,14.794467687606812,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.093570709228516,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.55584168434143,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,15.92238473892212,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.17257261276245,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.396419525146484,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.64029359817505,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,16.882956504821777,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.09668755531311,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.351041555404663,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.723058700561523,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,17.937065601348877,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.1923725605011,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.44025945663452,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.68161654472351,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,18.930317640304565,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.172740697860718,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.426969528198242,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.647722721099854,[],[],0
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,19.90505075454712,[],[],0
