Specification,NetworkFile,Epsilon,Delta,TimeTaken,Counterexample,FairRegion,FairRegionPercent,DebugCurRegion,JSMADimension,DeepimportanceDimension
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,0.18367385864257812,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,0.3494436740875244,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,0.5632078647613525,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,0.7271597385406494,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,0.8759686946868896,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,0.9973118305206299,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,1.1772029399871826,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,1.3369238376617432,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,1.475527048110962,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,1.6932251453399658,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,1.8588378429412842,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,2.020169258117676,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,2.2175822257995605,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,2.589268445968628,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,2.9786505699157715,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,3.291365623474121,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,3.539644718170166,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,3.7570178508758545,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,3.99377179145813,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.159832954406738,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.264657020568848,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.449258089065552,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.783845901489258,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,4.970540761947632,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,5.1524457931518555,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,5.252602815628052,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,5.458622932434082,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,5.610525846481323,[],[],0,,,
CEGFA,../../networks/german/german_bias_3_9_fc.onnx,,,5.764382839202881,[],[],0,,,
