Specification,NetworkFile,Epsilon,Delta,TimeTaken,Counterexample,FairRegion,FairRegionPercent,DebugCurRegion,JSMADimension,DeepimportanceDimension
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,1.41404390335083,[],[],0,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,2.9500958919525146,[],[],0,"[[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,4.242619037628174,[],[],0,"[[0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,5.53324818611145,[],[],0,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [0, -1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,7.479861259460449,[],[],0,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,7.647023439407349,[],[],0,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,9.087542295455933,[],[],0,"[[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [0, 1, -1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,10.410138130187988,[],[],0,"[[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [-1, -1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,11.722068071365356,[],[],0,"[[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,13.00111198425293,[],[],0,"[[0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 0.5]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,14.269954919815063,[],[],0,"[[0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0.5, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,15.695178031921387,[],[],0,"[[0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,16.983211040496826,[],[],0,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [0, -1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 0.5]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,18.858925819396973,[],[],0,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [0, -1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0.5, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,20.75347065925598,[],[],0,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [0, -1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,22.703524589538574,[],[],0,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [0, 1, -1], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,22.852824449539185,[],[],0,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,23.766297578811646,[],"[[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]]]",0.06666666666666667,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,24.213175535202026,[],"[[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]]]",0.06666666666666667,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [-1, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,11
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,24.904042720794678,[],"[[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]]]",0.06666666666666667,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, -1, -1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,11
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,26.362853050231934,[],"[[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]]]",0.06666666666666667,"[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,11
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,27.807050943374634,[],"[[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]]]",0.06666666666666667,"[[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [0, 1, -1], [0, 1], [0, 1], [0, 1], [0, 0.5], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,11
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,29.05959177017212,[],"[[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]]]",0.06666666666666667,"[[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [0, 1, -1], [0, 1], [0, 1], [0, 1], [0.5, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,11
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,30.30549168586731,[],"[[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]]]",0.06666666666666667,"[[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [0, 1, -1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 1], [0, 1]]",,11
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,31.597733974456787,[],"[[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]]]",0.06666666666666667,"[[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [-1, -1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 0.5], [0, 1]]",,12
CEGFA,../../networks/japanese/rq2/japanese_exp5_3_10_fc.onnx,,,36.35966205596924,[],"[[[0, 1], [0, 1], [0, 0.5], [0, 1, 2], [0, 1, 2], [0, 1], [-1, 1], [0, 1], [0, 1], [0, 1], [-1, -1, 2], [0, 1], [0, 1]], [[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [-1, -1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0, 0.5], [0, 1]]]",0.16666666666666666,"[[0, 1], [0, 1], [0.5, 1], [0, 1, 2], [-1, -1, 2], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1, 2], [0.5, 1], [0, 1]]",,12
